command=train
input=None
output=None
verbose=True
num_filters=128
checkpoint_dir=model
train_glob=images_train/*.png
batchsize=1
patchsize=256
lmbda=0.01
last_step=1000000
preprocess_threads=16

step=8300,train_loss=3.5656106,train_bpp=0.7659808,train_mse=185.4441
step=8400,train_loss=2.7805388,train_bpp=0.76758176,train_mse=42.36381
step=8500,train_loss=1.7597394,train_bpp=0.856416,train_mse=138.3052
step=8600,train_loss=2.174831,train_bpp=0.988632,train_mse=141.53519
step=8700,train_loss=2.4413464,train_bpp=0.9446674,train_mse=90.15215
step=8800,train_loss=1.679709,train_bpp=0.85078406,train_mse=112.92096
step=8900,train_loss=3.2499175,train_bpp=0.75925905,train_mse=91.85066
step=9000,train_loss=1.8378425,train_bpp=1.0507404,train_mse=75.29716
step=9100,train_loss=2.117877,train_bpp=1.0464572,train_mse=80.50799
step=9200,train_loss=2.855154,train_bpp=1.2071301,train_mse=78.6504
step=9300,train_loss=2.8788831,train_bpp=0.7363991,train_mse=114.436035
step=9400,train_loss=2.661748,train_bpp=0.7247727,train_mse=91.16186
step=9500,train_loss=1.4679396,train_bpp=0.804899,train_mse=107.36481
step=9600,train_loss=2.146091,train_bpp=0.71714866,train_mse=104.729836
step=9700,train_loss=1.3127773,train_bpp=0.9579975,train_mse=102.49621
step=9800,train_loss=2.3118038,train_bpp=1.0276362,train_mse=109.51645
step=9900,train_loss=2.3717175,train_bpp=0.7364911,train_mse=43.552666
step=10000,train_loss=1.6326561,train_bpp=0.86120224,train_mse=90.47613
step=10100,train_loss=2.705151,train_bpp=0.7774855,train_mse=91.86414
step=10200,train_loss=2.317556,train_bpp=0.6095483,train_mse=60.475258
step=10300,train_loss=2.6904104,train_bpp=0.90994453,train_mse=97.19363
step=10400,train_loss=1.5875022,train_bpp=0.9084036,train_mse=128.04968
step=10500,train_loss=3.6473465,train_bpp=0.8211126,train_mse=79.05916
step=10600,train_loss=3.156399,train_bpp=1.1002965,train_mse=113.45283
step=10700,train_loss=1.9284693,train_bpp=0.81636536,train_mse=127.53429
step=10800,train_loss=1.768033,train_bpp=1.0270405,train_mse=46.494606
step=10900,train_loss=1.7085083,train_bpp=0.82998216,train_mse=87.76791
step=11000,train_loss=4.119102,train_bpp=0.7968116,train_mse=71.3088
step=11100,train_loss=2.1804965,train_bpp=0.71940637,train_mse=244.04858
step=11200,train_loss=3.6101012,train_bpp=0.9179062,train_mse=48.08158
step=11300,train_loss=1.7312741,train_bpp=1.0537435,train_mse=50.767967
step=11400,train_loss=1.4796605,train_bpp=1.0306662,train_mse=248.32922
step=11500,train_loss=1.8678029,train_bpp=0.72467655,train_mse=134.62799
step=11600,train_loss=2.1539974,train_bpp=0.8250332,train_mse=143.71457
step=11700,train_loss=1.0113485,train_bpp=1.0105377,train_mse=64.50358
step=11800,train_loss=2.8850667,train_bpp=0.8372405,train_mse=181.53236
step=11900,train_loss=3.0634115,train_bpp=1.167913,train_mse=69.29123
step=12000,train_loss=4.812895,train_bpp=1.0205989,train_mse=65.707054
step=12100,train_loss=1.8913605,train_bpp=1.0075403,train_mse=101.41473
step=12200,train_loss=2.30747,train_bpp=0.82364315,train_mse=74.98756
step=12300,train_loss=4.8457336,train_bpp=1.0536966,train_mse=213.72485
step=12400,train_loss=1.6828301,train_bpp=1.0623558,train_mse=122.35734
step=12500,train_loss=3.7623997,train_bpp=0.8679087,train_mse=277.9463
step=12600,train_loss=1.7750849,train_bpp=0.9350274,train_mse=88.412094
step=12700,train_loss=2.4428358,train_bpp=0.8484432,train_mse=126.49316
step=12800,train_loss=2.5470707,train_bpp=1.3058645,train_mse=110.890915
step=12900,train_loss=2.8037596,train_bpp=1.0838906,train_mse=60.780655
step=13000,train_loss=0.986393,train_bpp=0.88222474,train_mse=323.87503
step=13100,train_loss=1.7762909,train_bpp=1.0634879,train_mse=266.92798
step=13200,train_loss=1.4740736,train_bpp=0.9785173,train_mse=67.12592
step=13300,train_loss=2.7811255,train_bpp=0.63628143,train_mse=130.67564
step=13400,train_loss=1.7632527,train_bpp=0.6548942,train_mse=115.59371
step=13500,train_loss=1.5838053,train_bpp=0.8955673,train_mse=186.63963
step=13600,train_loss=1.6563637,train_bpp=0.76076406,train_mse=230.97687
step=13700,train_loss=2.151968,train_bpp=0.8165243,train_mse=144.14888
step=13800,train_loss=4.3137507,train_bpp=1.0207249,train_mse=101.43141
step=13900,train_loss=2.9004278,train_bpp=0.7980191,train_mse=250.88045
step=14000,train_loss=1.8404834,train_bpp=0.8816745,train_mse=64.693306
step=14100,train_loss=1.658284,train_bpp=0.7145464,train_mse=59.62837
step=14200,train_loss=2.4710727,train_bpp=0.62663364,train_mse=96.20589
step=14300,train_loss=2.3401992,train_bpp=1.1772273,train_mse=109.63322
step=14400,train_loss=2.7179341,train_bpp=0.82693607,train_mse=79.504295
step=14500,train_loss=1.7304476,train_bpp=0.7249533,train_mse=178.05605
